X,Y,OBJECTID,FUEL_TYPE_CODE,STATION_NAME,STREET_ADDRESS,INTERSECTION_DIRECTIONS,CITY,STATE,ZIP,PLUS4,STATION_PHONE,STATUS_CODE,EXPECTED_DATE,GROUPS_WITH_ACCESS_CODE,ACCESS_DAYS_TIME,CARDS_ACCEPTED,BD_BLENDS,NG_FILL_TYPE_CODE,NG_PSI,EV_LEVEL1_EVSE_NUM,EV_LEVEL2_EVSE_NUM,EV_DC_FAST_COUNT,EV_OTHER_INFO,EV_NETWORK,EV_NETWORK_WEB,GEOCODE_STATUS,LATITUDE,LONGITUDE,DATE_LAST_CONFIRMED,ID,UPDATED_AT,OWNER_TYPE_CODE,FEDERAL_AGENCY_ID,FEDERAL_AGENCY_NAME,OPEN_DATE,HYDROGEN_STATUS_LINK,NG_VEHICLE_CLASS,LPG_PRIMARY,E85_BLENDER_PUMP,EV_CONNECTOR_TYPES,COUNTRY,INTERSECTION_DIRECTIONS_FRENCH,ACCESS_DAYS_TIME_FRENCH,BD_BLENDS_FRENCH,GROUPS_WITH_ACCESS_CODE_FRENCH,HYDROGEN_IS_RETAIL,ACCESS_CODE,ACCESS_DETAIL_CODE,FEDERAL_AGENCY_CODE,FACILITY_TYPE,CNG_DISPENSER_NUM,CNG_ON_SITE_RENEWABLE_SOURCE,CNG_TOTAL_COMPRESSION_CAPACITY,CNG_STORAGE_CAPACITY,LNG_ON_SITE_RENEWABLE_SOURCE,E85_OTHER_ETHANOL_BLENDS,EV_PRICING,EV_PRICING_FRENCH,LPG_NOZZLE_TYPES,HYDROGEN_PRESSURES,HYDROGEN_STANDARDS,CNG_FILL_TYPE_CODE,CNG_PSI,CNG_VEHICLE_CLASS,LNG_VEHICLE_CLASS,EV_ON_SITE_RENEWABLE_SOURCE,RESTRICTED_ACCESS,LATDD,LONGDD
-11487043.6721,5477286.9821,4736,ELEC,Liberty Mitsubishi,600 Cambell St,,Rapid City,SD,57701,,605-721-6060,E,,Public - Call ahead,"Dealership business hours; for customer use only",,,,,,2,,,Non-Networked,,200-9,44.076491,-103.189869,2020/09/03 00:00:00+00,46462,2021/03/11 23:22:17,P,,,2012/04/15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,44.076491,-103.189869
-10773192.6319,5395136.0503,5401,ELEC,Billion Nissan,4400 W 12th St,,Sioux Falls,SD,57107,,605-361-1818,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,GPS,43.543947,-96.777236,2020/06/09 00:00:00+00,47805,2021/03/11 23:22:17,P,,,2012/01/31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,43.543947,-96.777236
-10773192.6319,5395136.0503,5402,ELEC,Billion Nissan,4400 W 12th St,,Sioux Falls,SD,57107,,605-361-1818,E,,Private,,,,,,,1,,,Non-Networked,,GPS,43.543947,-96.777236,2020/06/09 00:00:00+00,47806,2021/03/11 23:22:17,P,,,2012/01/31,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,43.543947,-96.777236
-10957055.6953,5694250.6947,5986,ELEC,Harr Motors,4255 6th Ave SE,,Aberdeen,SD,57401,,605-225-3078,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,GPS,45.460117,-98.428906,2020/06/09 00:00:00+00,49716,2021/03/11 23:22:17,P,,,2012/10/25,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,45.460117,-98.428906
-10957055.6953,5694250.6947,5987,ELEC,Harr Motors,4255 6th Ave SE,,Aberdeen,SD,57401,,605-225-3078,E,,Private,,,,,,,1,,,Non-Networked,,GPS,45.460117,-98.428906,2020/06/09 00:00:00+00,49717,2021/03/11 23:22:17,P,,,2012/10/25,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,45.460117,-98.428906
-11485094.3565,5481335.3825,5988,ELEC,Granite Nissan,2626 E Mall Dr,,Rapid City,SD,57701,,605-342-3400,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-8,44.102612,-103.172358,2020/06/09 00:00:00+00,49718,2021/03/11 23:22:17,P,,,2012/10/25,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,44.102612,-103.172358
-11485094.3565,5481335.3825,5989,ELEC,Granite Nissan,2626 E Mall Dr,,Rapid City,SD,57701,,605-342-3400,E,,Private,,,,,,,1,,,Non-Networked,,200-8,44.102612,-103.172358,2020/06/09 00:00:00+00,49719,2021/03/11 23:22:17,P,,,2012/10/25,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,44.102612,-103.172358
-10965080.2721,5695753.4792,8540,ELEC,Pierson Ford,701 Auto Plaza Dr,,Aberdeen,SD,57401,,605-225-3720,E,,Public - Call ahead,"Dealership business hours; for Ford vehicle use only",,,,,,2,,,Non-Networked,,200-9,45.469585,-98.500992,2020/09/03 00:00:00+00,63617,2021/03/11 23:22:17,P,,,2014/08/01,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,45.469585,-98.500992
-11514617.9327,5451249.3242,10790,ELEC,Powder House Lodge,24125 US 16A,,Keystone,SD,57751,,605-666-4646,E,,Public,"24 hours daily; for guest use only",,,,,,1,,,Non-Networked,,GPS,43.90821572,-103.4375728,2022/01/10 00:00:00+00,72193,2022/02/10 19:42:29,P,,,2015/10/01,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,,43.90821572,-103.4375728
-11532066.9515,5429479.1519,16015,ELEC,Lynn's Dakotamart - Tesla Supercharger,800 Mount Rushmore Road,,Custer,SD,57730,,877-798-3752,E,,Public,"24 hours daily; for Tesla use only",,,,,,,8,,Tesla,https://www.tesla.com/supercharger,200-9,43.767154,-103.59432,2021/10/11 00:00:00+00,102406,2021/11/04 18:37:47,P,,,2018/07/23,,,,,TESLA,US,,,,Public,,public,,,,,,,,,,"$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW",,,,,,,,,,,43.767154,-103.59432
-10914263.8151,5419307.0997,16016,ELEC,County Fair Plaza - Tesla Supercharger,1305 W. Havens Street,,Mitchell,SD,57301,,877-798-3752,E,,Public,"24 hours daily; for Tesla use only",,,,,,,6,,Tesla,https://www.tesla.com/supercharger,GPS,43.701129,-98.0445,2021/10/11 00:00:00+00,102407,2021/11/04 18:37:47,P,,,2013/12/15,,,,,TESLA,US,,,,Public,,public,,,STANDALONE_STATION,,,,,,,"$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW",,,,,,,,,,,43.701129,-98.0445
