lat,lon,count
42.488,-96.5,45
42.492,-96.492,11
42.493,-96.492,11
42.493,-96.483,7
42.494,-96.504,11
42.494,-96.501,127
42.494,-96.48,51
42.495,-96.48,16
42.495,-96.479,8
42.496,-96.481,9
42.498,-96.485,6
42.5,-96.5,10
42.503,-96.49,15
42.503,-96.489,18
42.503,-96.48,11
42.503,-96.479,6
42.504,-96.495,133
42.504,-96.492,12
42.504,-96.49,25
42.504,-96.479,7
42.506,-96.491,8
42.506,-96.489,617
42.509,-96.492,8
42.51,-96.492,6
42.513,-96.503,32
42.52,-96.499,15
42.523,-96.502,11
42.523,-96.5,6
42.523,-96.497,29
42.523,-96.496,11
42.524,-96.503,7
42.524,-96.502,25
42.524,-96.497,12
42.524,-96.496,26
42.525,-96.502,37
42.525,-96.501,91
42.525,-96.5,23
42.525,-96.498,12
42.525,-96.497,9
42.525,-96.496,6
42.526,-96.499,13
42.526,-96.497,9
42.527,-96.499,8
42.528,-96.506,21
42.528,-96.494,9
42.532,-96.501,7
42.532,-96.5,6
42.533,-96.503,10
42.534,-96.504,16
42.534,-96.501,8
42.535,-96.504,187
42.535,-96.502,13
42.535,-96.501,19
42.535,-96.498,6
42.539,-96.503,13
42.54,-96.503,15
42.54,-96.502,67
42.541,-96.501,6
42.542,-96.505,39
42.544,-96.504,9
42.546,-96.505,15
42.549,-96.511,6
42.551,-96.544,7
42.552,-96.503,156
42.554,-96.512,9
42.558,-96.515,9
42.559,-96.516,7
42.563,-96.521,7
42.567,-96.525,11
42.569,-96.528,12
42.57,-96.529,37
42.572,-96.524,9
42.577,-96.538,8
42.58,-96.542,429
42.582,-96.545,27
42.586,-96.527,30
42.587,-96.553,12
42.588,-96.554,10
42.588,-96.553,6
42.589,-96.555,10
42.591,-96.559,6
42.597,-96.553,7
42.602,-96.573,8
42.604,-96.576,9
42.604,-96.572,6
42.604,-96.563,36
42.604,-96.561,9
42.607,-96.592,8
42.607,-96.565,28
42.611,-96.583,7
42.612,-96.586,8
42.613,-96.587,9
42.621,-96.583,23
42.626,-96.605,7
42.626,-96.604,11
42.628,-96.607,9
42.632,-96.612,72
42.634,-96.658,186
42.635,-96.616,7
42.637,-96.619,6
42.639,-96.622,9
42.64,-96.622,13
42.645,-96.629,11
42.646,-96.63,13
42.647,-96.63,7
42.666,-96.668,11
42.668,-96.667,7
42.668,-96.664,33
42.669,-96.665,8
42.669,-96.664,16
42.671,-96.67,14
42.671,-96.669,43
42.671,-96.666,38
42.674,-96.683,7
42.675,-96.681,6
42.676,-96.686,10
42.677,-96.687,7
42.679,-96.68,109
42.679,-96.674,16
42.681,-96.689,8
42.684,-96.679,7
42.685,-96.679,37
42.686,-96.687,10
42.687,-96.687,45
42.687,-96.677,21
42.688,-96.687,8
42.688,-96.685,50
42.689,-96.69,13
42.692,-96.697,6
42.695,-96.697,8
42.697,-96.697,6
42.7,-96.799,7
42.7,-96.7,6
